2021-02-26 05:49:37,101 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 05:58:12,521 - datasetCreation - INFO - [1|30][ss] overlap size post-filter: (4970643, 9)
2021-02-26 05:58:16,935 - datasetCreation - INFO - [1|30][ss] overlap size post-resample: (20578, 9)
2021-02-26 05:58:33,782 - datasetCreation - INFO - found potential source scan 22, checking for overlap
2021-02-26 06:02:12,906 - datasetCreation - INFO - [1|22][ts] overlap size post-filter: (572289, 9)
2021-02-26 06:02:13,538 - datasetCreation - INFO - [1|22][ts] overlap size post-resample: (20404, 9)
2021-02-26 06:02:30,562 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 06:07:13,622 - datasetCreation - INFO - [1|22][ss] overlap size post-filter: (4306240, 9)
2021-02-26 06:07:17,451 - datasetCreation - INFO - [1|22][ss] overlap size post-resample: (20447, 9)
2021-02-26 06:07:35,359 - datasetCreation - INFO - found potential source scan 17, checking for overlap
2021-02-26 06:07:51,413 - datasetCreation - INFO - [1|17][ts] overlap size post-filter: (0, 9)
2021-02-26 06:07:51,767 - datasetCreation - INFO - found potential source scan 9, checking for overlap
2021-02-26 06:11:02,967 - datasetCreation - INFO - [1|9][ts] overlap size post-filter: (458241, 9)
2021-02-26 06:11:03,503 - datasetCreation - INFO - [1|9][ts] overlap size post-resample: (20413, 9)
2021-02-26 06:11:20,453 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 06:16:01,518 - datasetCreation - INFO - [1|9][ss] overlap size post-filter: (9153465, 9)
2021-02-26 06:16:09,678 - datasetCreation - INFO - [1|9][ss] overlap size post-resample: (20600, 9)
2021-02-26 06:16:27,606 - datasetCreation - INFO - found potential source scan 33, checking for overlap
2021-02-26 06:17:05,699 - datasetCreation - INFO - [1|33][ts] overlap size post-filter: (80524, 9)
2021-02-26 06:17:05,852 - datasetCreation - INFO - found potential source scan 14, checking for overlap
2021-02-26 06:17:18,565 - datasetCreation - INFO - [1|14][ts] overlap size post-filter: (0, 9)
2021-02-26 06:17:18,828 - datasetCreation - INFO - found potential source scan 10, checking for overlap
2021-02-26 06:19:43,376 - datasetCreation - INFO - [1|10][ts] overlap size post-filter: (660985, 9)
2021-02-26 06:19:44,095 - datasetCreation - INFO - [1|10][ts] overlap size post-resample: (20408, 9)
2021-02-26 06:20:01,427 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 06:23:42,626 - datasetCreation - INFO - [1|10][ss] overlap size post-filter: (9983323, 9)
2021-02-26 06:23:51,474 - datasetCreation - INFO - [1|10][ss] overlap size post-resample: (20600, 9)
2021-02-26 06:24:09,675 - datasetCreation - INFO - found potential source scan 11, checking for overlap
2021-02-26 06:27:54,697 - datasetCreation - INFO - [1|11][ts] overlap size post-filter: (409402, 9)
2021-02-26 06:27:55,187 - datasetCreation - INFO - [1|11][ts] overlap size post-resample: (20370, 9)
2021-02-26 06:28:12,517 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 06:32:56,402 - datasetCreation - INFO - [1|11][ss] overlap size post-filter: (2525910, 9)
2021-02-26 06:32:58,847 - datasetCreation - INFO - [1|11][ss] overlap size post-resample: (20430, 9)
2021-02-26 06:33:16,883 - datasetCreation - INFO - found potential source scan 4, checking for overlap
2021-02-26 06:36:48,058 - datasetCreation - INFO - [1|4][ts] overlap size post-filter: (644593, 9)
2021-02-26 06:36:48,789 - datasetCreation - INFO - [1|4][ts] overlap size post-resample: (20403, 9)
2021-02-26 06:37:06,255 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 06:41:48,726 - datasetCreation - INFO - [1|4][ss] overlap size post-filter: (6085396, 9)
2021-02-26 06:41:54,120 - datasetCreation - INFO - [1|4][ss] overlap size post-resample: (20600, 9)
2021-02-26 06:42:12,885 - datasetCreation - INFO - found potential source scan 25, checking for overlap
2021-02-26 06:42:22,572 - datasetCreation - INFO - [1|25][ts] overlap size post-filter: (0, 9)
2021-02-26 06:42:22,744 - datasetCreation - INFO - found potential source scan 2, checking for overlap
2021-02-26 06:46:25,620 - datasetCreation - INFO - [1|2][ts] overlap size post-filter: (371676, 9)
2021-02-26 06:46:26,128 - datasetCreation - INFO - [1|2][ts] overlap size post-resample: (18942, 9)
2021-02-26 06:46:41,505 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 06:51:42,824 - datasetCreation - INFO - [1|2][ss] overlap size post-filter: (8433921, 9)
2021-02-26 06:51:49,830 - datasetCreation - INFO - [1|2][ss] overlap size post-resample: (20596, 9)
2021-02-26 06:52:07,838 - datasetCreation - INFO - found potential source scan 40, checking for overlap
2021-02-26 06:54:34,825 - datasetCreation - INFO - [1|40][ts] overlap size post-filter: (903757, 9)
2021-02-26 06:54:35,749 - datasetCreation - INFO - [1|40][ts] overlap size post-resample: (20414, 9)
2021-02-26 06:54:53,273 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 06:58:37,461 - datasetCreation - INFO - [1|40][ss] overlap size post-filter: (7754806, 9)
2021-02-26 06:58:43,962 - datasetCreation - INFO - [1|40][ss] overlap size post-resample: (20558, 9)
2021-02-26 06:59:02,340 - datasetCreation - INFO - found potential source scan 8, checking for overlap
2021-02-26 07:02:33,224 - datasetCreation - INFO - [1|8][ts] overlap size post-filter: (817910, 9)
2021-02-26 07:02:34,070 - datasetCreation - INFO - [1|8][ts] overlap size post-resample: (20401, 9)
2021-02-26 07:02:51,418 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 07:07:33,442 - datasetCreation - INFO - [1|8][ss] overlap size post-filter: (6273855, 9)
2021-02-26 07:07:38,793 - datasetCreation - INFO - [1|8][ss] overlap size post-resample: (20600, 9)
